Type,Price,Discount,Rating,Sold,Overseas
Bag,"Rs. 1,582",58% Off,32 sold,32 sold,Overseas
Bag,"Rs. 1,650",No discount,No rating,Not sold,Punjab
Bag,Rs. 599,No discount,No rating,Not sold,Punjab
Bag,Rs. 799,No discount,9 sold,9 sold,Punjab
Bag,"Rs. 1,060",65% Off,No rating,Not sold,Islamabad
Bag,Rs. 879,67% Off,No rating,Not sold,Punjab
Bag,Rs. 398,No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,100",45% Off,254 sold,254 sold,Punjab
Bag,"Rs. 1,852",77% Off,No rating,Not sold,Punjab
Bag,Rs. 790,No discount,No rating,Not sold,Sindh
Bag,Rs. 398,79% Off,7 sold,7 sold,Punjab
Bag,Rs. 396,75% Off,30 sold,30 sold,Overseas
Bag,"Rs. 2,999",No discount,24 sold,24 sold,Punjab
Bag,"Rs. 1,800",No discount,10 sold,10 sold,Punjab
Bag,"Rs. 1,699",43% Off,No rating,Not sold,Punjab
Bag,Rs. 800,No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,050",12% Off,19 sold,19 sold,Punjab
Bag,Rs. 900,No discount,33 sold,33 sold,Punjab
Bag,Rs. 879,76% Off,5 sold,5 sold,Punjab
Bag,Rs. 850,No discount,No rating,Not sold,Punjab
Bag,Rs. 949,No discount,No rating,Not sold,Punjab
Bag,Rs. 688,No discount,8 sold,8 sold,Punjab
Bag,Rs. 494,75% Off,367 sold,367 sold,Overseas
Bag,"Rs. 1,999",13% Off,No rating,Not sold,Punjab
Bag,Rs. 699,13% Off,No rating,Not sold,Sindh
Bag,Rs. 599,No discount,18 sold,18 sold,Sindh
Bag,"Rs. 1,050",No discount,8 sold,8 sold,Punjab
Bag,Rs. 435,33% Off,15 sold,15 sold,Sindh
Bag,"Rs. 1,000",67% Off,No rating,Not sold,Islamabad
Bag,Rs. 435,33% Off,206 sold,206 sold,Sindh
Bag,"Rs. 1,280",20% Off,255 sold,255 sold,Punjab
Bag,Rs. 699,7% Off,80 sold,80 sold,Sindh
Bag,Rs. 799,20% Off,1.6K sold,1.6K sold,Sindh
Bag,Rs. 435,33% Off,72 sold,72 sold,Sindh
Bag,"Rs. 1,700",23% Off,5 sold,5 sold,Khyber Pakhtunkhwa
Bag,Rs. 699,7% Off,68 sold,68 sold,Sindh
Bag,Rs. 399,56% Off,12 sold,12 sold,Punjab
Bag,Rs. 435,33% Off,237 sold,237 sold,Sindh
Bag,Rs. 599,40% Off,No rating,Not sold,Punjab
Bag,Rs. 250,No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,239",78% Off,39 sold,39 sold,Overseas
Bag,Rs. 398,No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,100",45% Off,254 sold,254 sold,Punjab
Bag,"Rs. 2,999",No discount,24 sold,24 sold,Punjab
Bag,"Rs. 1,299",No discount,50 sold,50 sold,Punjab
Bag,"Rs. 2,500",No discount,No rating,Not sold,Sindh
Bag,"Rs. 1,650",No discount,11 sold,11 sold,Sindh
Bag,"Rs. 1,313",50% Off,110 sold,110 sold,Overseas
Bag,"Rs. 1,450",19% Off,41 sold,41 sold,Punjab
Bag,"Rs. 1,070",14% Off,901 sold,901 sold,Punjab
Bag,"Rs. 3,099",No discount,No rating,Not sold,Punjab
Bag,"Rs. 1,050",No discount,8 sold,8 sold,Punjab
Bag,Rs. 622,75% Off,105 sold,105 sold,Overseas
Bag,"Rs. 1,650",No discount,474 sold,474 sold,Punjab
Bag,"Rs. 2,285",No discount,No rating,Not sold,Punjab
Bag,"Rs. 2,273",68% Off,38 sold,38 sold,Overseas
